stn,amendment_type,depth_name,depth_no,depth_m,substrate,timepoint,time_d,time_h,replicate,FISH_probe,cells_ml,substratecells_ml,dapifish_ml,dapifishsubstrate_ml
stn20,unamend,bottom,d7,5580,lam,t0,0.2,5,1,GAM42a,1.33E+04,1.01E+03,2.66E+03,1.90E+02
stn20,unamend,bottom,d7,5580,lam,t0,0.2,5,1,PLA46,1.51E+04,5.16E+02,2.81E+02,2.35E+02
stn20,unamend,bottom,d7,5580,lam,t0,0.2,5,1,CF319a,1.51E+04,2.64E+02,2.64E+02,4.41E+01
stn20,unamend,bottom,d7,5580,lam,t2,3,72,1,EUB1,1.26E+04,4.47E+02,4.47E+02,0.00E+00
stn20,unamend,bottom,d7,5580,lam,t2,3,72,1,EUB3,1.14E+04,5.09E+02,1.45E+02,1.45E+02
stn20,unamend,bottom,d7,5580,lam,t2,3,72,1,GAM42a,1.22E+04,7.27E+02,1.92E+03,3.97E+02
stn20,unamend,bottom,d7,5580,lam,t2,3,72,1,PLA46,1.22E+04,2.42E+02,2.42E+02,0.00E+00
stn20,unamend,bottom,d7,5580,lam,t2,3,72,1,CF319a,1.12E+04,1.38E+02,6.92E+01,0.00E+00
stn20,unamend,bottom,d7,5580,lam,t3,7,168,1,EUB1,1.34E+04,1.00E+02,1.55E+03,0.00E+00
stn20,unamend,bottom,d7,5580,lam,t3,7,168,1,EUB3,1.49E+04,4.07E+02,1.16E+02,0.00E+00
stn20,unamend,bottom,d7,5580,lam,t3,7,168,1,GAM42a,1.39E+04,5.92E+02,1.62E+02,1.62E+02
stn20,unamend,bottom,d7,5580,lam,t3,7,168,1,PLA46,1.37E+04,7.27E+02,8.31E+02,1.04E+02
stn20,unamend,bottom,d7,5580,lam,t3,7,168,1,CF319a,1.54E+04,5.71E+02,1.04E+02,0.00E+00
stn20,unamend,bottom,d7,5580,lam,t4,10,240,1,EUB1,15123.11198,232.6632613,4420.601965,0
stn20,unamend,bottom,d7,5580,lam,t4,10,240,1,EUB3,17995.04912,605.8939096,302.9469548,0
stn20,unamend,bottom,d7,5580,lam,t4,10,240,1,GAM42a,14347.56778,824.0157171,2859.819253,290.8290766
stn20,unamend,bottom,d7,5580,lam,t4,10,240,1,PLA46,16095.8851,601.7153309,150.4288327,50.14294425
stn20,unamend,bottom,d7,5580,lam,t4,10,240,1,CF319a,16359.13556,136.3261297,45.44204322,0
stn18,amend,dC,d6,3190,lam,t0,0,0,1,EUB1,38493.87963,488.5010105,1465.503032,293.1006063
stn18,amend,dC,d6,3190,lam,t0,0,0,1,EUB3,34037.48977,0,255.2811732,0
stn18,amend,dC,d6,3190,lam,t0,0,0,1,GAM42a,39224.50723,573.457708,1720.373124,573.457708
stn18,amend,dC,d6,3190,lam,t0,0,0,1,PLA46,37389.44256,229.3830832,344.0746248,0
stn18,amend,dC,d6,3190,lam,t0,0,0,1,CF319a,33664.69821,0,125.6145456,0
stn18,amend,dC,d6,3190,lam,t1,3,72,1,EUB1,1757504.511,11540.83637,867211.419,10881.36001
stn18,amend,dC,d6,3190,lam,t1,3,72,1,EUB3,1732727.042,565.265455,565.265455,0
stn18,amend,dC,d6,3190,lam,t1,3,72,1,GAM42a,1682172.018,1217.494826,91109.19616,0
stn18,amend,dC,d6,3190,lam,t1,3,72,1,PLA46,1707648.098,1450.848001,527.5810914,0
stn18,amend,dC,d6,3190,lam,t1,3,72,1,CF319a,1722552.263,5395.715707,1678.667109,119.9047935
stn18,amend,dC,d6,3190,lam,t2,5,120,1,EUB1,2143835.535,55982.21581,1090920.457,56275.31641
stn18,amend,dC,d6,3190,lam,t2,5,120,1,EUB3,2199810.235,35408.80786,608.7474131,0
stn18,amend,dC,d6,3190,lam,t2,5,120,1,GAM42a,2188502.291,61711.00039,127019.1446,1998.413225
stn18,amend,dC,d6,3190,lam,t2,5,120,1,PLA46,2078962.601,49827.10307,94378.39524,0
stn18,amend,dC,d6,3190,lam,t2,5,120,1,CF319a,1254512.467,20349.55638,3580.014549,0
stn18,amend,dC,d6,3190,lam,t3,10,240,1,EUB1,2242132.418,13058.35885,1324386.077,12692.23664
stn18,amend,dC,d6,3190,lam,t3,10,240,1,EUB3,2289460.755,10392.23813,633.6730569,0
stn18,amend,dC,d6,3190,lam,t3,10,240,1,GAM42a,2201858.975,11959.99221,337564.6782,1220.407369
stn18,amend,dC,d6,3190,lam,t3,10,240,1,PLA46,2285085.876,14498.43954,790.823975,0
stn18,amend,dC,d6,3190,lam,t3,10,240,1,CF319a,2237738.952,12326.11443,82499.53814,366.1222107
stn19,amend,dC,d6,4325,lam,t0,0,0,1,EUB1,22257.32729,0,1483.821819,0
stn19,amend,dC,d6,4325,lam,t0,0,0,1,EUB3,21103.24366,0,0,0
stn19,amend,dC,d6,4325,lam,t0,0,0,1,GAM42a,20270.22088,0,138.8371293,0
