,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
349,stn19-d1-bulk-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
350,stn19-d1-bulk-ara-t1,0,0.02109865,0.822933638,2.776900003,1.20697743,1.417472222,0,0,0,0,0,0
351,stn19-d1-bulk-ara-t2,0,0.359246447,0.95871287,0.203450301,0.50713654,0.398759322,0,0,0,0,0,0
352,stn19-d1-bulk-ara-t3,0,0.004716281,0.680307215,0.57710871,0.420710735,0.363938212,0,0,0,0,0,0
353,stn19-d1-bulk-ara-t4,0,3.576904852,1.235263347,0.64574071,1.81930297,1.550405597,0,3.576904852,1.235263347,0,1.604056066,1.816746579
354,stn19-d1-bulk-ara-t5,0,2.078935305,2.198396293,2.289769363,2.189033654,0.105728399,0,2.078935305,2.198396293,2.289769363,2.189033654,0.105728399
355,stn19-d1-bulk-chn-t0,0,0,0,0,0,0,0,0,0,0,0,0
356,stn19-d1-bulk-chn-t1,0,NA,0.273078525,7.510264579,3.891671552,5.117463335,0,0,0,0,0,0
357,stn19-d1-bulk-chn-t2,0,NA,2.212091414,0.575416054,1.393753734,1.157304245,0,0,0,0,0,0
358,stn19-d1-bulk-chn-t3,0,NA,2.58869209,5.466486014,4.027589052,2.034907598,0,0,2.58869209,5.466486014,2.685059368,2.734516835
359,stn19-d1-bulk-chn-t4,0,3.11140685,3.351507002,NA,3.231456926,0.169776446,0,3.11140685,3.351507002,,3.231456926,
360,stn19-d1-bulk-chn-t5,0,NA,1.657410993,2.546847417,2.102129205,0.628926527,0,,1.657410993,2.546847417,2.102129205,
361,stn19-d1-bulk-fuc-t0,0,0,0,0,0,0,0,0,0,0,0,0
362,stn19-d1-bulk-fuc-t1,0,0.025862061,0.343428279,5.392963123,1.920751154,3.011213052,0,0,0,0,0,0
363,stn19-d1-bulk-fuc-t2,0,0.468822452,2.682702029,1.614624314,1.588716265,1.107167158,0,0,0,0,0,0
364,stn19-d1-bulk-fuc-t3,0,0.587112634,2.487121004,1.152735221,1.40898962,0.975580693,0,0,0,0,0,0
365,stn19-d1-bulk-fuc-t4,0,0.82359284,1.383819015,1.532020677,1.24647751,0.373650259,0,0,0,0,0,0
366,stn19-d1-bulk-fuc-t5,0,0.10648094,0.892735816,0.722633786,0.573950181,0.413677765,0,0,0,0,0,0
367,stn19-d1-bulk-lam-t0,0,0,0,0,0,0,0,0,0,0,0,0
368,stn19-d1-bulk-lam-t1,0,0.44795434,1.634144505,2.334232982,1.472110609,0.953521377,0,0,0,0,0,0
369,stn19-d1-bulk-lam-t2,0,0.492993997,NA,1.307998347,0.900496172,0.576295102,0,0,0,0,0,0
370,stn19-d1-bulk-lam-t3,0,NA,NA,0.335781265,0.335781265,NA,0,0,0,0,0,0
371,stn19-d1-bulk-lam-t4,0,NA,NA,0.616549321,0.616549321,NA,0,,,0.616549321,0.616549321,
372,stn19-d1-bulk-lam-t5,0,NA,NA,0.917355974,0.917355974,NA,0,,,0.917355974,0.917355974,
373,stn19-d1-bulk-pul-t0,0,0,0,0,0,0,0,0,0,0,0,0
374,stn19-d1-bulk-pul-t1,0,0.431867014,1.772830791,3.34990708,1.851534962,1.460611247,0,0,0,0,0,0
375,stn19-d1-bulk-pul-t2,0,0.671066089,1.088140033,2.021577039,1.260261054,0.691512249,0,0,0,0,0,0
376,stn19-d1-bulk-pul-t3,0,0.088334846,0.249509449,0.717378202,0.351740832,0.32674505,0,0,0,0,0,0
377,stn19-d1-bulk-pul-t4,0,0.326801986,0.371035926,0.929450359,0.542429424,0.335898889,0,0.326801986,0.371035926,0.929450359,0.542429424,0.335898889
378,stn19-d1-bulk-pul-t5,0,0.378122617,0.31172675,0.764874063,0.48490781,0.244720105,0,0.378122617,0.31172675,0.764874063,0.48490781,0.244720105
379,stn19-d1-bulk-xyl-t0,0,0,0,0,0,0,0,0,0,0,0,0
380,stn19-d1-bulk-xyl-t1,0,0.440399023,0.326930221,0.096496674,0.287941973,0.175234897,0,0,0,0,0,0
381,stn19-d1-bulk-xyl-t2,0,0.137768758,0.180160579,0.484938131,0.267622489,0.189390688,0,0,0,0,0,0
382,stn19-d1-bulk-xyl-t3,0,0.191817721,0.400088441,0.332392765,0.308099642,0.106239306,0,0,0,0,0,0
383,stn19-d1-bulk-xyl-t4,0,1.110312705,0.532550327,1.43270917,1.025190734,0.456076526,0,1.110312705,0.532550327,1.43270917,1.025190734,0.456076526
384,stn19-d1-bulk-xyl-t5,0,1.669467403,1.552227726,1.581648728,1.601114619,0.060995706,0,1.669467403,1.552227726,1.581648728,1.601114619,0.060995706
385,stn19-d2-bulk-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
386,stn19-d2-bulk-ara-t1,14.65531349,0.165884097,41.05787512,42.76683147,27.99686356,24.11747699,0,0,0,0,0,0
387,stn19-d2-bulk-ara-t2,1.368221552,0.090552959,1.650793627,0.020628328,0.587324971,0.921654246,0,0,0,0,0,0
388,stn19-d2-bulk-ara-t3,2.763257461,0.028945688,2.089643552,3.033787558,1.717458932,1.536606556,0,0,0,0,0,0
389,stn19-d2-bulk-ara-t4,1.578390798,0.181079328,0.812062757,1.182899893,0.725347326,0.506508426,0,0,0,0,0,0
390,stn19-d2-bulk-ara-t5,0.206373591,2.777357232,0.472863,0.366871835,1.205697355,1.362128704,0,0,0,0,0,0
391,stn19-d2-bulk-ara-t6,1.782039174,0.496581715,0.977581188,0.755464672,0.743209192,0.240733818,0,0,0,0,0,0
392,stn19-d2-bulk-ara-t7,0.754123393,0.166856284,0.45359658,0.415080891,0.345177918,0.155627178,0,0,0,0,0,0
393,stn19-d2-bulk-chn-t0,0,0,0,0,0,0,0,0,0,0,0,0
394,stn19-d2-bulk-chn-t1,0,16.92707131,33.99182546,3.776972481,18.23195641,15.14963296,0,0,0,0,0,0
395,stn19-d2-bulk-chn-t2,0,3.689810866,4.769461725,1.730864784,3.396712458,1.540356403,0,0,0,0,0,0
396,stn19-d2-bulk-chn-t3,0,3.756138584,5.332838405,1.866196059,3.651724349,1.735678264,0,0,0,0,0,0
397,stn19-d2-bulk-chn-t4,0.107600716,5.318180888,5.879283464,5.287211776,5.494892043,0.333252674,0,5.210580172,5.771682748,5.17961106,5.387291327,0.333252674
398,stn19-d2-bulk-chn-t5,1.424694107,5.060806837,5.850537423,5.037826887,5.316390382,0.462727582,0,3.63611273,4.425843316,3.61313278,3.891696275,0.462727582
399,stn19-d2-bulk-chn-t6,0.477636709,4.100646617,4.310549102,4.389309367,4.266835029,0.149213725,0,3.623009908,3.832912393,3.911672657,3.789198319,0.149213725
400,stn19-d2-bulk-chn-t7,2.080688873,2.288998415,2.4067109,2.324643495,2.340117603,0.060362598,0,0.208309542,0.326022027,0.243954622,0.25942873,0.060362598
401,stn19-d2-bulk-fuc-t0,0,0,0,0,0,0,0,0,0,0,0,0
402,stn19-d2-bulk-fuc-t1,24.71686374,0.021951655,3.323537741,0.38246322,1.242650872,1.811093528,0,0,0,0,0,0
403,stn19-d2-bulk-fuc-t2,0.303180344,3.047961672,0.676066456,0.769309332,1.497779153,1.343306718,0,0,0,0,0,0
404,stn19-d2-bulk-fuc-t3,0.461605191,0.64679036,2.815457983,0.656823434,1.373023926,1.24919461,0,0,0,0,0,0
405,stn19-d2-bulk-fuc-t4,0.242324847,0.921300056,1.929660068,1.349760096,1.400240073,0.506071783,0,0,0,0,0,0
406,stn19-d2-bulk-fuc-t5,0.108805097,0.619169413,1.501788217,0.758949477,0.959969036,0.47440556,0,0,0,0,0,0
407,stn19-d2-bulk-fuc-t6,1.285059452,1.426026276,0.452490258,1.070333167,0.9829499,0.492615439,0,0,0,0,0,0
