,X,rate.x.nM.hr,rate.1.nM.hr,rate.2.nM.hr,rate.3.nM.hr,mean.rate.nM.hr,sd.rate.nM.hr,kcrate.x.nM.hr,kcrate.1.nM.hr,kcrate.2.nM.hr,kcrate.3.nM.hr,mean.kcrate.nM.hr,sd.kcrate.nM.hr
480,stn19-dB-LV-A2-chn-t5,0.934796742,1.193291523,1.483858307,1.927167072,1.534772301,0.36957747,0,0.258494782,0.549061566,0.992370331,0.599975559,0.36957747
481,stn19-dB-LV-A2-fuc-t0,0,0,0,0,0,0,0,0,0,0,0,0
482,stn19-dB-LV-A2-fuc-t1,1.387671148,0.389430598,0.121070409,2.106790765,0.872430591,1.077375551,0,0,0,0,0,0
483,stn19-dB-LV-A2-fuc-t2,1.024098431,0,1.043242126,0.001336546,0.348192891,0.601930666,0,0,0,0,0,0
484,stn19-dB-LV-A2-fuc-t3,0.527111837,0.111932816,0.246569794,0.347703046,0.235401885,0.118281199,0,0,0,0,0,0
485,stn19-dB-LV-A2-fuc-t4,1.103313322,1.116648463,0.23590418,0.437064061,0.596538901,0.461521171,0,0,0,0,0,0
486,stn19-dB-LV-A2-fuc-t5,0.205009708,0.627678284,0.516825278,0.434301815,0.526268459,0.097033473,0,0,0,0,0,0
487,stn19-dB-LV-A2-lam-t0,0,0,0,0,0,0,0,0,0,0,0,0
488,stn19-dB-LV-A2-lam-t1,0.860126264,0.038258629,0.774578213,1.85887541,0.89057075,0.915834083,0,0,0,0,0,0
489,stn19-dB-LV-A2-lam-t2,0.797242142,0.414834719,1.342627304,1.97216926,1.243210428,0.783412729,0,0,0.545385162,1.174927118,0.573437427,0.587965671
490,stn19-dB-LV-A2-lam-t3,0.316553736,2.1006965,2.677042056,3.144092516,2.640610358,0.522651187,0,1.784142764,2.36048832,2.82753878,2.324056621,0.522651187
491,stn19-dB-LV-A2-lam-t4,0.848046413,2.010832389,2.164955682,2.072855605,2.082881225,0.077549224,0,1.162785976,1.316909269,1.224809192,1.234834812,0.077549224
492,stn19-dB-LV-A2-lam-t5,1.478051761,1.434565307,1.512641081,NA,1.473603194,0.055207909,0,0,0.034589319,NA,0.01729466,0.024458342
493,stn19-dB-LV-A2-pul-t0,0,0,0,0,0,0,0,0,0,0,0,0
494,stn19-dB-LV-A2-pul-t1,3.181933578,0,0,1.235963399,0.4119878,0.713583801,0,0,0,0,0,0
495,stn19-dB-LV-A2-pul-t2,1.851406691,0,0,4.920641032,1.640213677,2.840933424,0,0,0,0,0,0
496,stn19-dB-LV-A2-pul-t3,2.189265826,0.071454616,0.035943651,0.429191277,0.178863182,0.217516376,0,0,0,0,0,0
497,stn19-dB-LV-A2-pul-t4,0.902838961,0.700993387,0.708477158,0.763450828,0.724307124,0.034105334,0,0,0,0,0,0
498,stn19-dB-LV-A2-pul-t5,0.489907424,0.885111334,0.692275366,1.453305388,1.010230696,0.395642281,0,0.395203911,0.202367942,0.963397964,0.520323272,0.395642281
499,stn19-dB-LV-A2-xyl-t0,0,0,0,0,0,0,0,0,0,0,0,0
500,stn19-dB-LV-A2-xyl-t1,0.015373883,0.276842771,0.128580511,0.248402215,0.217941832,0.078684819,0,0,0,0,0,0
501,stn19-dB-LV-A2-xyl-t2,0.011220443,0.158806755,0.253820166,0.004075163,0.138900695,0.126056853,0,0,0,0,0,0
502,stn19-dB-LV-A2-xyl-t3,0.01248047,0.721232953,1.128024152,0.454325954,0.76786102,0.339260885,0,0.708752482,1.115543682,0.441845484,0.755380549,0.339260885
503,stn19-dB-LV-A2-xyl-t4,0.282407362,4.653727171,3.998993847,2.018242952,3.55698799,1.37221396,0,4.37131981,3.716586485,1.73583559,3.274580628,1.37221396
504,stn19-dB-LV-A2-xyl-t5,0.45126175,2.510943287,2.554090047,2.490767328,2.51860022,0.03234831,0,2.059681537,2.102828297,2.039505578,2.067338471,0.03234831
505,stn19-dB-LV-A3-ara-t0,0,0,0,0,0,0,0,0,0,0,0,0
506,stn19-dB-LV-A3-ara-t1,0.758661185,0.012844276,1.094234011,1.334473199,0.813850495,0.704014872,0,0,0,0,0,0
507,stn19-dB-LV-A3-ara-t2,1.160350167,0.65704192,0.680999881,0.685041558,0.67436112,0.015134391,0,0,0,0,0,0
508,stn19-dB-LV-A3-ara-t3,0.235741476,0.59683167,0.611719811,0.987704994,0.732085492,0.221498107,0,0,0,0,0,0
509,stn19-dB-LV-A3-ara-t4,0.154811235,0.484064466,0.483832583,0.356719764,0.441538938,0.073455651,0,0,0,0,0,0
510,stn19-dB-LV-A3-ara-t5,0.000804508,0.357870502,0.283130607,0.330815037,0.323938715,0.037841456,0,0,0,0,0,0
511,stn19-dB-LV-A3-chn-t0,0,0,0,0,0,0,0,0,0,0,0,0
512,stn19-dB-LV-A3-chn-t1,3.877272221,0.969358655,0.005390906,0.016741299,0.330496954,0.553299569,0,0,0,0,0,0
513,stn19-dB-LV-A3-chn-t2,2.706205928,2.405006131,0.826348135,3.848244786,2.359866351,1.51145395,0,0,0,1.142038859,0.38067962,0.659356443
514,stn19-dB-LV-A3-chn-t3,1.381312377,2.116075589,2.798673797,2.474548994,2.46309946,0.341443109,0,0.734763213,1.41736142,1.093236618,1.081787083,0.341443109
515,stn19-dB-LV-A3-chn-t4,1.437231542,2.056231885,1.958453585,1.944000054,1.986228508,0.061053917,0,0.619000344,0.521222043,0.506768513,0.548996967,0.061053917
516,stn19-dB-LV-A3-chn-t5,0.322326228,1.410078012,1.270976566,2.17630895,1.619121176,0.487525348,0,1.087751784,0.948650338,1.853982722,1.296794948,0.487525348
517,stn19-dB-LV-A3-fuc-t0,0,0,0,0,0,0,0,0,0,0,0,0
518,stn19-dB-LV-A3-fuc-t1,1.371144378,0.083039365,0.476245801,2.209083061,0.922789409,1.131179183,0,0,0,0,0,0
519,stn19-dB-LV-A3-fuc-t2,1.155421072,1.221589139,1.328215742,1.634546605,1.394783829,0.214375721,0,0,0,0,0,0
520,stn19-dB-LV-A3-fuc-t3,0.941951001,0.504870711,0.67240297,0.893300128,0.69019127,0.194824718,0,0,0,0,0,0
521,stn19-dB-LV-A3-fuc-t4,1.049263949,0.828102608,0.582761181,0.636207073,0.682356954,0.129017296,0,0,0,0,0,0
